dataset_id,display_name,scope,family,n_clusters,n_features,n_samples,clusterer,reducer,reduction_level,ari,seeds,condition,baseline,delta_ari
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,AHC,VAE,k_minus_1,0.0017006932188835002,10,VAE__k_minus_1,0.0048283446965910002,-0.0031276514777074998
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,GMM,Isomap,25_percent,0.45193912725527097,10,Isomap__25_percent,0.77401598325386711,-0.32207685599859615
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,GMM,Isomap,50_percent,0.52048402619716805,10,Isomap__50_percent,0.77401598325386711,-0.25353195705669906
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,GMM,Isomap,k_minus_1,0.684024380369184,10,Isomap__k_minus_1,0.77401598325386711,-0.089991602884683108
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,GMM,KernelPCA,25_percent,0.66634950158481698,10,KernelPCA__25_percent,0.77401598325386711,-0.10766648166905013
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,GMM,KernelPCA,50_percent,0.7072097111234521,10,KernelPCA__50_percent,0.77401598325386711,-0.066806272130415012
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,GMM,KernelPCA,k_minus_1,0.64911458086128504,10,KernelPCA__k_minus_1,0.77401598325386711,-0.12490140239258207
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,GMM,MDS,25_percent,0.3766562720111456,10,MDS__25_percent,0.77401598325386711,-0.39735971124272151
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,GMM,MDS,50_percent,0.077481836720800001,10,MDS__50_percent,0.77401598325386711,-0.69653414653306711
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,GMM,MDS,k_minus_1,0.582192975619088,10,MDS__k_minus_1,0.77401598325386711,-0.19182300763477911
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,GMM,None,original,0.77401598325386711,10,None__original,0.77401598325386711,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,GMM,PCA,25_percent,0.46507274204415683,10,PCA__25_percent,0.77401598325386711,-0.30894324120971028
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,GMM,PCA,50_percent,0.077481836720800001,10,PCA__50_percent,0.77401598325386711,-0.69653414653306711
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,GMM,PCA,k_minus_1,0.60988060678534195,10,PCA__k_minus_1,0.77401598325386711,-0.16413537646852516
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,GMM,VAE,25_percent,0.58595200198234365,10,VAE__25_percent,0.77401598325386711,-0.18806398127152346
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,GMM,VAE,50_percent,0.6411963502141671,10,VAE__50_percent,0.77401598325386711,-0.13281963303970001
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,GMM,VAE,k_minus_1,0.53744134438272051,10,VAE__k_minus_1,0.77401598325386711,-0.2365746388711466
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,KMeans,Isomap,25_percent,0.7546546002381771,10,Isomap__25_percent,0.67072064768808004,0.083933952550097057
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,KMeans,Isomap,50_percent,0.7546546002381771,10,Isomap__50_percent,0.67072064768808004,0.083933952550097057
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,KMeans,Isomap,k_minus_1,0.75279597489612537,10,Isomap__k_minus_1,0.67072064768808004,0.082075327208045334
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,KMeans,KernelPCA,25_percent,0.64346408575839198,10,KernelPCA__25_percent,0.67072064768808004,-0.027256561929688061
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,KMeans,KernelPCA,50_percent,0.64918127654915603,10,KernelPCA__50_percent,0.67072064768808004,-0.021539371138924013
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,KMeans,KernelPCA,k_minus_1,0.6548571506871651,10,KernelPCA__k_minus_1,0.67072064768808004,-0.015863497000914939
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,KMeans,MDS,25_percent,0.67650489563352301,10,MDS__25_percent,0.67072064768808004,0.0057842479454429663
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,KMeans,MDS,50_percent,0.67072064768808004,10,MDS__50_percent,0.67072064768808004,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,KMeans,MDS,k_minus_1,0.68852370034557897,10,MDS__k_minus_1,0.67072064768808004,0.01780305265749893
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,KMeans,None,original,0.67072064768808004,10,None__original,0.67072064768808004,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,KMeans,PCA,25_percent,0.67072064768808004,10,PCA__25_percent,0.67072064768808004,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,KMeans,PCA,50_percent,0.67072064768808004,10,PCA__50_percent,0.67072064768808004,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,KMeans,PCA,k_minus_1,0.65923055709495204,10,PCA__k_minus_1,0.67072064768808004,-0.011490090593128
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,KMeans,VAE,25_percent,0.72812729004874566,10,VAE__25_percent,0.67072064768808004,0.057406642360665616
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,KMeans,VAE,50_percent,0.69625705365628132,10,VAE__50_percent,0.67072064768808004,0.025536405968201281
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,KMeans,VAE,k_minus_1,0.71279050180997294,10,VAE__k_minus_1,0.67072064768808004,0.042069854121892902
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,OPTICS,Isomap,25_percent,0,10,Isomap__25_percent,0,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,OPTICS,Isomap,50_percent,0,10,Isomap__50_percent,0,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,OPTICS,Isomap,k_minus_1,0.52305157036719696,10,Isomap__k_minus_1,0,0.52305157036719696
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,OPTICS,KernelPCA,25_percent,0,10,KernelPCA__25_percent,0,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,OPTICS,KernelPCA,50_percent,0,10,KernelPCA__50_percent,0,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,OPTICS,KernelPCA,k_minus_1,0.63769891610173002,10,KernelPCA__k_minus_1,0,0.63769891610173002
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,OPTICS,MDS,25_percent,0,10,MDS__25_percent,0,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,OPTICS,MDS,50_percent,0,10,MDS__50_percent,0,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,OPTICS,MDS,k_minus_1,0.76120984344332998,10,MDS__k_minus_1,0,0.76120984344332998
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,OPTICS,None,original,0,10,None__original,0,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,OPTICS,PCA,25_percent,0,10,PCA__25_percent,0,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,OPTICS,PCA,50_percent,0,10,PCA__50_percent,0,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,OPTICS,PCA,k_minus_1,0.6935092656146491,10,PCA__k_minus_1,0,0.6935092656146491
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,OPTICS,VAE,25_percent,0,10,VAE__25_percent,0,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,OPTICS,VAE,50_percent,0,10,VAE__50_percent,0,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,OPTICS,VAE,k_minus_1,0.71603332216832183,10,VAE__k_minus_1,0,0.71603332216832183
circles_k2_d10_r00,circles_k2_d10_r00,synthetic,circles,2,10,2000,AHC,Isomap,25_percent,0.56079512980281598,1,Isomap__25_percent,0.13516417026349101,0.42563095953932495
circles_k2_d10_r00,circles_k2_d10_r00,synthetic,circles,2,10,2000,AHC,Isomap,50_percent,1,1,Isomap__50_percent,0.13516417026349101,0.86483582973650897
circles_k2_d10_r00,circles_k2_d10_r00,synthetic,circles,2,10,2000,AHC,Isomap,k_minus_1,0.74464365554716105,1,Isomap__k_minus_1,0.13516417026349101,0.60947948528367002
circles_k2_d10_r00,circles_k2_d10_r00,synthetic,circles,2,10,2000,AHC,KernelPCA,25_percent,0.69874906127549197,1,KernelPCA__25_percent,0.13516417026349101,0.56358489101200093
circles_k2_d10_r00,circles_k2_d10_r00,synthetic,circles,2,10,2000,AHC,KernelPCA,50_percent,0.98803001203597596,1,KernelPCA__50_percent,0.13516417026349101,0.85286584177248492
circles_k2_d10_r00,circles_k2_d10_r00,synthetic,circles,2,10,2000,AHC,KernelPCA,k_minus_1,0.426156499960959,1,KernelPCA__k_minus_1,0.13516417026349101,0.29099232969746802
circles_k2_d10_r00,circles_k2_d10_r00,synthetic,circles,2,10,2000,AHC,MDS,25_percent,0.13886221055251591,1,MDS__25_percent,0.13516417026349101,0.0036980402890249009
circles_k2_d10_r00,circles_k2_d10_r00,synthetic,circles,2,10,2000,AHC,MDS,50_percent,0.092790380343609896,1,MDS__50_percent,0.13516417026349101,-0.042373789919881111
circles_k2_d10_r00,circles_k2_d10_r00,synthetic,circles,2,10,2000,AHC,MDS,k_minus_1,0.13369682670586791,1,MDS__k_minus_1,0.13516417026349101,-0.0014673435576230964
circles_k2_d10_r00,circles_k2_d10_r00,synthetic,circles,2,10,2000,AHC,None,original,0.13516417026349101,1,None__original,0.13516417026349101,0
circles_k2_d10_r00,circles_k2_d10_r00,synthetic,circles,2,10,2000,AHC,PCA,25_percent,0.1222464218652459,1,PCA__25_percent,0.13516417026349101,-0.01291774839824511
circles_k2_d10_r00,circles_k2_d10_r00,synthetic,circles,2,10,2000,AHC,PCA,50_percent,0.13738020358302,1,PCA__50_percent,0.13516417026349101,0.0022160333195289927
circles_k2_d10_r00,circles_k2_d10_r00,synthetic,circles,2,10,2000,AHC,PCA,k_minus_1,0.097730667744982,1,PCA__k_minus_1,0.13516417026349101,-0.037433502518509007
